uid,eventType,datetime,home_stay
u31,HomeMobility,2013-03-30 11:18:07,True
u31,HomeMobility,2013-03-30 11:38:07,True
u31,HomeMobility,2013-03-30 11:58:07,True
u31,HomeMobility,2013-03-30 12:18:07,True
u31,HomeMobility,2013-03-30 12:36:18,True
u31,HomeMobility,2013-03-30 12:58:07,True
u31,HomeMobility,2013-03-30 13:18:07,True
u31,HomeMobility,2013-03-30 13:38:13,True
u31,HomeMobility,2013-03-30 13:58:07,True
u31,HomeMobility,2013-03-30 14:18:07,True
u31,HomeMobility,2013-03-30 14:38:07,True
u31,HomeMobility,2013-03-30 14:58:07,True
u31,HomeMobility,2013-03-30 15:18:07,False
u31,HomeMobility,2013-03-30 15:38:07,True
u31,HomeMobility,2013-03-30 15:58:07,True
u31,HomeMobility,2013-03-30 16:18:07,True
u31,HomeMobility,2013-03-30 16:38:07,True
u31,HomeMobility,2013-03-30 16:58:13,True
u31,HomeMobility,2013-03-30 17:18:07,True
u31,HomeMobility,2013-03-30 17:38:12,True
u31,HomeMobility,2013-03-30 17:58:07,True
u31,HomeMobility,2013-03-30 18:18:07,True
u31,HomeMobility,2013-03-30 18:38:07,True
u31,HomeMobility,2013-03-30 18:58:07,True
u31,HomeMobility,2013-03-30 19:18:07,True
u31,HomeMobility,2013-03-30 19:38:07,True
u31,HomeMobility,2013-03-30 19:58:07,True
u31,HomeMobility,2013-03-30 20:18:07,True
u31,HomeMobility,2013-03-30 20:38:07,True
u31,HomeMobility,2013-03-30 20:58:07,True
u31,HomeMobility,2013-03-30 21:18:07,True
u31,HomeMobility,2013-03-30 21:38:07,True
u31,HomeMobility,2013-03-30 21:58:07,True
u31,HomeMobility,2013-03-30 22:18:07,True
u31,HomeMobility,2013-03-30 22:38:07,True
u31,HomeMobility,2013-03-30 22:58:07,True
u31,HomeMobility,2013-03-30 23:18:07,True
u31,HomeMobility,2013-03-30 23:38:07,True
u31,HomeMobility,2013-03-30 23:58:07,True
u31,HomeMobility,2013-03-31 00:18:07,True
u31,HomeMobility,2013-03-31 00:38:07,True
u31,HomeMobility,2013-03-31 00:56:25,True
u31,HomeMobility,2013-03-31 01:18:13,True
u31,HomeMobility,2013-03-31 01:38:07,True
u31,HomeMobility,2013-03-31 01:58:07,True
u31,HomeMobility,2013-03-31 02:18:07,True
u31,HomeMobility,2013-03-31 02:38:12,True
u31,HomeMobility,2013-03-31 02:58:10,False
u31,HomeMobility,2013-03-31 03:18:10,True
u31,HomeMobility,2013-03-31 03:38:07,True
u31,HomeMobility,2013-03-31 03:58:07,True
u31,HomeMobility,2013-03-31 04:18:07,True
u31,HomeMobility,2013-03-31 04:38:07,True
u31,HomeMobility,2013-03-31 04:58:07,True
u31,HomeMobility,2013-03-31 05:18:07,True
u31,HomeMobility,2013-03-31 05:38:12,True
u31,HomeMobility,2013-03-31 05:58:07,True
u31,HomeMobility,2013-03-31 06:18:07,True
u31,HomeMobility,2013-03-31 06:38:07,True
u31,HomeMobility,2013-03-31 06:58:13,True
u31,HomeMobility,2013-03-31 07:18:07,True
u31,HomeMobility,2013-03-31 07:38:07,True
u31,HomeMobility,2013-03-31 07:58:07,True
u31,HomeMobility,2013-03-31 08:18:07,True
u31,HomeMobility,2013-03-31 08:38:07,True
u31,HomeMobility,2013-03-31 08:58:07,True
u31,HomeMobility,2013-03-31 09:18:13,True
u31,HomeMobility,2013-03-31 09:38:07,True
u31,HomeMobility,2013-03-31 09:58:07,True
u31,HomeMobility,2013-03-31 10:18:07,True
u31,HomeMobility,2013-03-31 10:38:07,True
u31,HomeMobility,2013-03-31 10:58:07,True
u31,HomeMobility,2013-03-31 11:18:07,True
u31,HomeMobility,2013-03-31 11:38:07,True
u31,HomeMobility,2013-03-31 11:58:07,True
u31,HomeMobility,2013-03-31 12:18:07,True
u31,HomeMobility,2013-03-31 12:38:07,True
u31,HomeMobility,2013-03-31 12:58:07,True
u31,HomeMobility,2013-03-31 13:18:09,False
u31,HomeMobility,2013-03-31 13:38:10,False
u31,HomeMobility,2013-03-31 13:58:11,False
u31,HomeMobility,2013-03-31 14:18:09,False
u31,HomeMobility,2013-03-31 14:38:09,False
u31,HomeMobility,2013-03-31 14:58:10,False
u31,HomeMobility,2013-03-31 15:18:08,False
u31,HomeMobility,2013-03-31 15:38:11,False
u31,HomeMobility,2013-03-31 15:58:10,False
u31,HomeMobility,2013-03-31 16:18:11,False
u31,HomeMobility,2013-03-31 16:38:07,False
u31,HomeMobility,2013-03-31 16:58:07,False
u31,HomeMobility,2013-03-31 17:04:35,False
u31,HomeMobility,2013-03-31 17:20:27,False
u31,HomeMobility,2013-03-31 17:58:07,False
u31,HomeMobility,2013-03-31 18:18:10,False
u31,HomeMobility,2013-03-31 18:38:07,False
u31,HomeMobility,2013-03-31 18:58:10,False
u31,HomeMobility,2013-03-31 19:18:12,False
u31,HomeMobility,2013-03-31 19:38:11,False
u31,HomeMobility,2013-03-31 19:58:12,False
u31,HomeMobility,2013-03-31 20:16:07,False
u31,HomeMobility,2013-03-31 20:38:09,False
u31,HomeMobility,2013-03-31 20:58:07,True
u31,HomeMobility,2013-03-31 21:18:13,True
u31,HomeMobility,2013-03-31 21:38:07,True
u31,HomeMobility,2013-03-31 21:58:07,True
u31,HomeMobility,2013-03-31 22:18:13,True
u31,HomeMobility,2013-03-31 22:38:12,True
u31,HomeMobility,2013-03-31 22:58:07,True
u31,HomeMobility,2013-03-31 23:18:07,True
u31,HomeMobility,2013-03-31 23:38:13,True
u31,HomeMobility,2013-03-31 23:58:12,True
u31,HomeMobility,2013-04-01 00:18:07,True
u31,HomeMobility,2013-04-01 00:38:14,True
u31,HomeMobility,2013-04-01 00:58:14,True
u31,HomeMobility,2013-04-01 01:18:07,True
u31,HomeMobility,2013-04-01 01:38:13,True
u31,HomeMobility,2013-04-01 01:58:13,True
u31,HomeMobility,2013-04-01 02:18:12,True
u31,HomeMobility,2013-04-01 02:38:07,True
u31,HomeMobility,2013-04-01 02:58:07,True
u31,HomeMobility,2013-04-01 03:18:13,True
u31,HomeMobility,2013-04-01 03:38:13,True
u31,HomeMobility,2013-04-01 03:58:12,True
u31,HomeMobility,2013-04-01 04:18:13,True
u31,HomeMobility,2013-04-01 04:38:12,True
u31,HomeMobility,2013-04-01 04:58:11,True
u31,HomeMobility,2013-04-01 05:18:12,True
u31,HomeMobility,2013-04-01 05:37:51,True
u31,HomeMobility,2013-04-01 05:58:07,True
u31,HomeMobility,2013-04-01 06:18:12,True
u31,HomeMobility,2013-04-01 06:38:04,True
u31,HomeMobility,2013-04-01 06:58:12,True
u31,HomeMobility,2013-04-01 07:16:17,True
u31,HomeMobility,2013-04-01 07:38:07,True
u31,HomeMobility,2013-04-01 07:58:07,True
u31,HomeMobility,2013-04-01 08:18:07,True
u31,HomeMobility,2013-04-01 08:38:07,True
u31,HomeMobility,2013-04-01 08:56:09,True
u31,HomeMobility,2013-04-01 09:18:12,True
u31,HomeMobility,2013-04-01 09:38:09,True
u31,HomeMobility,2013-04-01 09:58:07,False
u31,HomeMobility,2013-04-01 10:18:07,False
u31,HomeMobility,2013-04-01 10:38:07,False
u31,HomeMobility,2013-04-01 10:58:07,False
u31,HomeMobility,2013-04-01 11:18:07,False
u31,HomeMobility,2013-04-01 11:38:07,False
u31,HomeMobility,2013-04-01 11:58:07,False
u31,HomeMobility,2013-04-01 12:18:07,False
u31,HomeMobility,2013-04-01 12:38:07,False
u31,HomeMobility,2013-04-01 12:57:23,False
u31,HomeMobility,2013-04-01 13:18:07,False
u31,HomeMobility,2013-04-01 13:36:51,False
u31,HomeMobility,2013-04-01 13:58:07,False
u31,HomeMobility,2013-04-01 14:18:07,False
u31,HomeMobility,2013-04-01 14:38:07,False
u31,HomeMobility,2013-04-01 14:58:07,False
u31,HomeMobility,2013-04-01 15:18:07,False
u31,HomeMobility,2013-04-01 15:38:07,False
u31,HomeMobility,2013-04-01 15:58:07,False
u31,HomeMobility,2013-04-01 16:18:07,False
u31,HomeMobility,2013-04-01 16:38:07,False
u31,HomeMobility,2013-04-01 16:58:07,False
u31,HomeMobility,2013-04-01 17:18:07,False
u31,HomeMobility,2013-04-01 17:37:13,False
u31,HomeMobility,2013-04-01 17:58:07,False
u31,HomeMobility,2013-04-01 18:18:07,False
u31,HomeMobility,2013-04-01 18:38:07,True
u31,HomeMobility,2013-04-01 18:57:10,True
u31,HomeMobility,2013-04-01 19:18:11,True
u31,HomeMobility,2013-04-01 19:38:11,True
u31,HomeMobility,2013-04-01 19:58:07,False
u31,HomeMobility,2013-04-01 20:18:07,False
u31,HomeMobility,2013-04-01 20:38:07,False
u31,HomeMobility,2013-04-01 20:57:05,False
