uid,typeEvent,inference,startDate,endDate,duration
u08,Physical activity,0,2013-03-27 21:13:52,2013-03-27 21:14:08,16
u08,Physical activity,1,2013-03-27 21:14:10,2013-03-27 21:17:48,218
u08,Physical activity,0,2013-03-27 21:17:51,2013-03-27 21:58:34,2443
u08,Physical activity,3,2013-03-27 21:58:37,2013-03-27 21:58:45,8
u08,Physical activity,0,2013-03-27 22:01:47,2013-03-27 23:49:50,6483
u08,Physical activity,1,2013-03-27 23:49:53,2013-03-27 23:49:53,0
u08,Physical activity,2,2013-03-27 23:49:55,2013-03-27 23:50:42,47
u08,Physical activity,1,2013-03-27 23:50:44,2013-03-27 23:54:31,227
u08,Physical activity,0,2013-03-27 23:54:34,2013-03-27 23:54:34,0
u08,Physical activity,3,2013-03-27 23:54:36,2013-03-27 23:54:36,0
u08,Physical activity,0,2013-03-27 23:54:39,2013-03-28 00:02:24,465
u08,Physical activity,1,2013-03-28 00:02:27,2013-03-28 00:02:32,5
u08,Physical activity,0,2013-03-28 00:02:34,2013-03-28 00:02:37,3
u08,Physical activity,1,2013-03-28 00:02:39,2013-03-28 00:06:03,204
u08,Physical activity,0,2013-03-28 00:06:06,2013-03-28 00:06:42,36
u08,Physical activity,1,2013-03-28 00:06:44,2013-03-28 00:09:55,191
u08,Physical activity,0,2013-03-28 00:09:57,2013-03-28 00:21:51,714
u08,Physical activity,1,2013-03-28 00:21:54,2013-03-28 00:22:40,46
u08,Physical activity,0,2013-03-28 00:22:43,2013-03-28 00:22:43,0
u08,Physical activity,1,2013-03-28 00:22:45,2013-03-28 00:22:45,0
u08,Physical activity,0,2013-03-28 00:25:46,2013-03-28 00:29:53,247
u08,Physical activity,1,2013-03-28 00:29:56,2013-03-28 00:30:34,38
u08,Physical activity,2,2013-03-28 00:30:37,2013-03-28 00:34:42,245
u08,Physical activity,1,2013-03-28 00:37:46,2013-03-28 00:37:46,0
u08,Physical activity,0,2013-03-28 00:37:48,2013-03-28 09:30:11,31943
u08,Physical activity,1,2013-03-28 09:30:13,2013-03-28 09:30:24,11
u08,Physical activity,0,2013-03-28 09:30:27,2013-03-28 11:21:48,6681
u08,Physical activity,1,2013-03-28 11:21:51,2013-03-28 11:22:35,44
u08,Physical activity,0,2013-03-28 11:22:37,2013-03-28 11:25:44,187
u08,Physical activity,2,2013-03-28 11:25:46,2013-03-28 11:29:48,242
u08,Physical activity,3,2013-03-28 11:29:56,2013-03-28 11:29:56,0
u08,Physical activity,1,2013-03-28 11:30:02,2013-03-28 11:30:02,0
u08,Physical activity,0,2013-03-28 11:30:20,2013-03-28 11:30:35,15
u08,Physical activity,1,2013-03-28 11:30:38,2013-03-28 11:33:42,184
u08,Physical activity,0,2013-03-28 11:33:45,2013-03-28 11:37:47,242
u08,Physical activity,1,2013-03-28 11:37:50,2013-03-28 11:38:02,12
